DATE,VIXCLS
1993-12-27,9.70
1994-01-03,12.57
1994-01-10,10.74
1994-01-17,11.88
1994-01-24,11.60
1994-01-31,10.63
1994-02-07,13.96
1994-02-14,14.28
1994-02-21,14.70
1994-02-28,14.87
1994-03-07,14.26
1994-03-14,16.61
1994-03-21,14.34
1994-03-28,14.90
1994-04-04,23.87
1994-04-11,16.61
1994-04-18,17.22
1994-04-25,14.26
1994-05-02,14.11
1994-05-09,16.16
1994-05-16,14.67
1994-05-23,13.49
1994-05-30,12.49
1994-06-06,13.03
1994-06-13,11.92
1994-06-20,13.96
1994-06-27,15.53
1994-07-04,14.36
1994-07-11,13.83
1994-07-18,11.44
1994-07-25,11.46
1994-08-01,11.17
1994-08-08,12.41
1994-08-15,12.06
1994-08-22,12.62
1994-08-29,11.82
1994-09-05,11.40
1994-09-12,14.01
1994-09-19,13.06
1994-09-26,14.56
1994-10-03,15.44
1994-10-10,14.72
1994-10-17,14.76
1994-10-24,16.97
1994-10-31,14.56
1994-11-07,17.37
1994-11-14,16.68
1994-11-21,16.13
1994-11-28,16.83
1994-12-05,16.10
1994-12-12,15.46
1994-12-19,13.02
1994-12-26,11.82
1995-01-02,13.20
1995-01-09,13.33
1995-01-16,11.14
1995-01-23,12.79
1995-01-30,12.26
1995-02-06,11.22
1995-02-13,11.41
1995-02-20,11.71
1995-02-27,12.51
1995-03-06,12.17
1995-03-13,12.15
1995-03-20,11.34
1995-03-27,11.83
1995-04-03,13.50
1995-04-10,12.79
1995-04-17,12.33
1995-04-24,11.92
1995-05-01,12.14
1995-05-08,12.22
1995-05-15,12.38
1995-05-22,11.68
1995-05-29,12.20
1995-06-05,13.45
1995-06-12,11.91
1995-06-19,11.21
1995-06-26,11.80
1995-07-03,11.57
1995-07-10,12.19
1995-07-17,12.26
1995-07-24,12.55
1995-07-31,13.49
1995-08-07,13.10
1995-08-14,13.24
1995-08-21,13.42
1995-08-28,12.48
1995-09-04,11.29
1995-09-11,11.51
1995-09-18,12.34
1995-09-25,13.22
1995-10-02,13.95
1995-10-09,14.85
1995-10-16,14.62
1995-10-23,14.17
1995-10-30,14.26
1995-11-06,12.74
1995-11-13,13.20
1995-11-20,12.37
1995-11-27,12.43
1995-12-04,10.66
1995-12-11,11.06
1995-12-18,14.55
1995-12-25,11.51
1996-01-01,12.52
1996-01-08,13.11
1996-01-15,14.99
1996-01-22,13.34
1996-01-29,12.19
1996-02-05,13.46
1996-02-12,14.69
1996-02-19,15.37
1996-02-26,16.38
1996-03-04,16.67
1996-03-11,19.40
1996-03-18,17.31
1996-03-25,17.84
1996-04-01,17.90
1996-04-08,18.72
1996-04-15,16.83
1996-04-22,15.38
1996-04-29,15.45
1996-05-06,16.92
1996-05-13,15.16
1996-05-20,15.80
1996-05-27,15.54
1996-06-03,16.86
1996-06-10,16.78
1996-06-17,17.46
1996-06-24,15.91
1996-07-01,13.78
1996-07-08,16.42
1996-07-15,20.11
1996-07-22,20.41
1996-07-29,20.09
1996-08-05,17.36
1996-08-12,15.57
1996-08-19,15.27
1996-08-26,15.38
1996-09-02,17.01
1996-09-09,16.36
1996-09-16,15.43
1996-09-23,16.46
1996-09-30,16.95
1996-10-07,15.11
1996-10-14,15.13
1996-10-21,15.98
1996-10-28,18.34
1996-11-04,18.04
1996-11-11,14.04
1996-11-18,15.12
1996-11-25,15.91
1996-12-02,17.93
1996-12-09,17.75
1996-12-16,21.99
1996-12-23,19.50
1996-12-30,19.51
1997-01-06,19.89
1997-01-13,19.84
1997-01-20,18.60
1997-01-27,20.16
1997-02-03,19.58
1997-02-10,20.65
1997-02-17,19.18
1997-02-24,19.84
1997-03-03,20.89
1997-03-10,19.00
1997-03-17,20.95
1997-03-24,20.06
1997-03-31,22.14
1997-04-07,18.51
1997-04-14,19.09
1997-04-21,20.10
1997-04-28,21.34
1997-05-05,20.13
1997-05-12,20.25
1997-05-19,21.48
1997-05-26,18.08
1997-06-02,20.85
1997-06-09,19.46
1997-06-16,19.77
1997-06-23,21.19
1997-06-30,21.53
1997-07-07,19.13
1997-07-14,19.58
1997-07-21,23.51
1997-07-28,21.84
1997-08-04,21.94
1997-08-11,22.77
1997-08-18,24.37
1997-08-25,24.10
1997-09-01,24.76
1997-09-08,24.40
1997-09-15,25.74
1997-09-22,22.08
1997-09-29,22.23
1997-10-06,21.61
1997-10-13,20.26
1997-10-20,20.72
1997-10-27,31.12
1997-11-03,32.09
1997-11-10,36.63
1997-11-17,31.58
1997-11-24,29.80
1997-12-01,26.01
1997-12-08,23.22
1997-12-15,27.37
1997-12-22,28.56
1997-12-29,26.79
1998-01-05,24.36
1998-01-12,28.02
1998-01-19,21.65
1998-01-26,23.97
1998-02-02,21.36
1998-02-09,21.55
1998-02-16,19.84
1998-02-23,18.99
1998-03-02,19.19
1998-03-09,20.23
1998-03-16,18.51
1998-03-23,19.98
1998-03-30,24.66
1998-04-06,22.47
1998-04-13,22.77
1998-04-20,20.39
1998-04-27,26.09
1998-05-04,20.32
1998-05-11,21.05
1998-05-18,21.69
1998-05-25,18.99
1998-06-01,22.83
1998-06-08,20.58
1998-06-15,25.94
1998-06-22,21.94
1998-06-29,19.57
1998-07-06,18.63
1998-07-13,18.26
1998-07-20,17.34
1998-07-27,23.13
1998-08-03,25.98
1998-08-10,28.75
1998-08-17,31.86
1998-08-24,31.80
1998-08-31,44.28
1998-09-07,43.31
1998-09-14,38.57
1998-09-21,38.58
1998-09-28,34.87
1998-10-05,42.81
1998-10-12,40.07
1998-10-19,33.13
1998-10-26,32.38
1998-11-02,27.26
1998-11-09,28.09
1998-11-16,28.90
1998-11-23,21.84
1998-11-30,26.01
1998-12-07,24.90
1998-12-14,31.31
1998-12-21,23.86
1998-12-28,23.50
1999-01-04,26.17
1999-01-11,25.46
1999-01-18,29.24
1999-01-25,31.13
1999-02-01,27.67
1999-02-08,30.27
1999-02-15,29.76
1999-02-22,25.87
1999-03-01,28.37
1999-03-08,24.54
1999-03-15,25.24
1999-03-22,25.00
1999-03-29,23.54
1999-04-05,22.19
1999-04-12,21.93
1999-04-19,26.42
1999-04-26,23.53
1999-05-03,24.15
1999-05-10,26.62
1999-05-17,27.28
1999-05-24,27.62
1999-05-31,25.39
1999-06-07,23.78
1999-06-14,26.51
1999-06-21,21.81
1999-06-28,22.63
1999-07-05,18.66
1999-07-12,19.73
1999-07-19,19.07
1999-07-26,24.98
1999-08-02,25.59
1999-08-09,27.66
1999-08-16,23.07
1999-08-23,22.55
1999-08-30,24.63
1999-09-06,20.98
1999-09-13,22.89
1999-09-20,24.03
1999-09-27,26.40
1999-10-04,24.46
1999-10-11,20.63
1999-10-18,28.19
1999-10-25,23.60
1999-11-01,22.09
1999-11-08,21.87
1999-11-15,22.74
1999-11-22,19.98
1999-11-29,23.57
1999-12-06,20.58
1999-12-13,21.72
1999-12-20,23.78
1999-12-27,23.07
2000-01-03,24.21
2000-01-10,21.71
2000-01-17,19.66
2000-01-24,24.07
2000-01-31,24.95
2000-02-07,22.79
2000-02-14,24.38
2000-02-21,26.00
2000-02-28,24.68
2000-03-06,21.50
2000-03-13,22.85
2000-03-20,22.96
2000-03-27,24.53
2000-04-03,24.03
2000-04-10,25.99
2000-04-17,28.95
2000-04-24,27.37
2000-05-01,25.88
2000-05-08,28.20
2000-05-15,24.86
2000-05-22,26.00
2000-05-29,24.47
2000-06-05,22.71
2000-06-12,22.32
2000-06-19,20.63
2000-06-26,22.45
2000-07-03,19.83
2000-07-10,20.33
2000-07-17,19.45
2000-07-24,19.92
2000-07-31,20.74
2000-08-07,19.03
2000-08-14,17.88
2000-08-21,17.35
2000-08-28,16.54
2000-09-04,17.53
2000-09-11,18.40
2000-09-18,20.25
2000-09-25,21.41
2000-10-02,21.23
2000-10-09,24.02
2000-10-16,26.79
2000-10-23,24.69
2000-10-30,25.46
2000-11-06,24.52
2000-11-13,29.06
2000-11-20,27.43
2000-11-27,26.93
2000-12-04,27.78
2000-12-11,23.51
2000-12-18,27.70
2000-12-25,27.55
2001-01-01,26.85
2001-01-08,29.84
2001-01-15,24.56
2001-01-22,23.25
2001-01-29,22.61
2001-02-05,22.19
2001-02-12,21.92
2001-02-19,22.12
2001-02-26,25.43
2001-03-05,27.12
2001-03-12,30.32
2001-03-19,29.78
2001-03-26,29.04
2001-04-02,31.21
2001-04-09,31.91
2001-04-16,26.33
2001-04-23,28.16
2001-04-30,25.48
2001-05-07,24.86
2001-05-14,24.26
2001-05-21,20.76
2001-05-28,20.60
2001-06-04,21.38
2001-06-11,20.70
2001-06-18,23.17
2001-06-25,20.67
2001-07-02,18.76
2001-07-09,22.48
2001-07-16,22.91
2001-07-23,23.74
2001-07-30,22.69
2001-08-06,21.89
2001-08-13,20.42
2001-08-20,22.87
2001-08-27,20.56
2001-09-03,24.92
2001-09-10,31.84
2001-09-17,41.76
2001-09-24,37.75
2001-10-01,32.32
2001-10-08,35.12
2001-10-15,35.31
2001-10-22,32.25
2001-10-29,31.64
2001-11-05,30.50
2001-11-12,29.35
2001-11-19,24.46
2001-11-26,23.79
2001-12-03,25.77
2001-12-10,25.62
2001-12-17,24.26
2001-12-24,22.62
2001-12-31,23.80
2002-01-07,21.94
2002-01-14,23.58
2002-01-21,22.52
2002-01-28,21.14
2002-02-04,24.87
2002-02-11,21.78
2002-02-18,22.37
2002-02-25,21.84
2002-03-04,20.50
2002-03-11,19.84
2002-03-18,18.93
2002-03-25,18.48
2002-04-01,18.73
2002-04-08,19.61
2002-04-15,19.82
2002-04-22,19.77
2002-04-29,24.05
2002-05-06,22.56
2002-05-13,20.72
2002-05-20,19.24
2002-05-27,18.90
2002-06-03,23.37
2002-06-10,23.72
2002-06-17,24.64
2002-06-24,26.98
2002-07-01,27.11
2002-07-08,28.25
2002-07-15,35.03
2002-07-22,41.87
2002-07-29,31.33
2002-08-05,45.08
2002-08-12,37.05
2002-08-19,28.61
2002-08-26,29.89
2002-09-02,32.64
2002-09-09,36.45
2002-09-16,36.74
2002-09-23,39.68
2002-09-30,39.69
2002-10-07,42.64
2002-10-14,36.04
2002-10-21,33.11
2002-10-28,31.07
2002-11-04,30.82
2002-11-11,31.30
2002-11-18,27.66
2002-11-25,24.07
2002-12-02,27.46
2002-12-09,30.78
2002-12-16,26.24
2002-12-23,26.20
2002-12-30,29.62
2003-01-06,24.91
2003-01-13,24.90
2003-01-20,25.70
2003-01-27,34.69
2003-02-03,31.02
2003-02-10,33.99
2003-02-17,32.62
2003-02-24,31.98
2003-03-03,30.43
2003-03-10,33.31
2003-03-17,31.75
2003-03-24,30.39
2003-03-31,29.15
2003-04-07,28.45
2003-04-14,23.41
2003-04-21,21.95
2003-04-28,20.84
2003-05-05,21.13
2003-05-12,19.52
2003-05-19,20.51
2003-05-26,19.17
2003-06-02,20.85
2003-06-09,22.15
2003-06-16,20.22
2003-06-23,20.58
2003-06-30,19.52
2003-07-07,20.06
2003-07-14,19.59
2003-07-21,19.78
2003-07-28,18.36
2003-08-04,21.27
2003-08-11,19.75
2003-08-18,18.18
2003-08-25,19.53
2003-09-01,18.63
2003-09-08,18.26
2003-09-15,19.28
2003-09-22,19.65
2003-09-29,21.67
2003-10-06,19.51
2003-10-13,17.55
2003-10-20,17.04
2003-10-27,18.05
2003-11-03,16.55
2003-11-10,17.62
2003-11-17,18.60
2003-11-24,17.44
2003-12-01,16.77
2003-12-08,16.54
2003-12-15,17.23
2003-12-22,16.94
2003-12-29,17.09
2004-01-05,17.49
2004-01-12,16.82
2004-01-19,15.00
2004-01-26,14.55
2004-02-02,17.11
2004-02-09,16.39
2004-02-16,15.58
2004-02-23,16.29
2004-03-01,14.44
2004-03-08,15.79
2004-03-15,21.13
2004-03-22,21.58
2004-03-29,16.50
2004-04-05,14.97
2004-04-12,15.28
2004-04-19,15.42
2004-04-26,14.77
2004-05-03,16.62
2004-05-10,19.77
2004-05-17,19.96
2004-05-24,18.08
2004-05-31,15.50
2004-06-07,15.39
2004-06-14,16.07
2004-06-21,15.26
2004-06-28,16.07
2004-07-05,15.08
2004-07-12,14.96
2004-07-19,15.17
2004-07-26,17.30
2004-08-02,15.37
2004-08-09,18.89
2004-08-16,17.57
2004-08-23,15.88
2004-08-30,15.44
2004-09-06,13.91
2004-09-13,13.17
2004-09-20,14.43
2004-09-27,14.62
2004-10-04,13.41
2004-10-11,14.71
2004-10-18,14.71
2004-10-25,16.58
2004-11-01,16.27
2004-11-08,13.80
2004-11-15,13.38
2004-11-22,12.97
2004-11-29,13.30
2004-12-06,13.19
2004-12-13,12.54
2004-12-20,11.83
2004-12-27,12.14
2005-01-03,14.08
2005-01-10,13.23
2005-01-17,12.43
2005-01-24,14.65
2005-01-31,12.82
2005-02-07,11.73
2005-02-14,11.52
2005-02-21,11.18
2005-02-28,12.08
2005-03-07,12.26
2005-03-14,12.39
2005-03-21,13.61
2005-03-28,13.75
2005-04-04,14.11
2005-04-11,11.98
2005-04-18,16.56
2005-04-25,14.62
2005-05-02,15.12
2005-05-09,13.75
2005-05-16,15.68
2005-05-23,12.95
2005-05-30,12.15
2005-06-06,12.28
2005-06-13,11.65
2005-06-20,11.47
2005-06-27,12.52
2005-07-04,11.40
2005-07-11,11.28
2005-07-18,10.77
2005-07-25,11.10
2005-08-01,12.08
2005-08-08,13.21
2005-08-15,12.26
2005-08-22,13.42
2005-08-29,13.52
2005-09-05,13.57
2005-09-12,11.65
2005-09-19,12.14
2005-09-26,13.04
2005-10-03,12.46
2005-10-10,15.55
2005-10-17,14.67
2005-10-24,14.74
2005-10-31,15.32
2005-11-07,13.10
2005-11-14,12.18
2005-11-21,10.82
2005-11-28,11.84
2005-12-05,11.60
2005-12-12,11.47
2005-12-19,11.38
2005-12-26,10.27
2006-01-02,12.07
2006-01-09,11.13
2006-01-16,11.23
2006-01-23,13.93
2006-01-30,12.39
2006-02-06,13.04
2006-02-13,13.35
2006-02-20,12.01
2006-02-27,11.59
2006-03-06,12.74
2006-03-13,11.37
2006-03-20,11.79
2006-03-27,11.46
2006-04-03,11.57
2006-04-10,12.19
2006-04-17,12.58
2006-04-24,11.75
2006-05-01,12.54
2006-05-08,12.00
2006-05-15,13.57
2006-05-22,17.72
2006-05-29,14.26
2006-06-05,16.65
2006-06-12,20.96
2006-06-19,17.83
2006-06-26,15.62
2006-07-03,13.05
2006-07-10,14.02
2006-07-17,18.64
2006-07-24,14.98
2006-07-31,14.95
2006-08-07,15.23
2006-08-14,14.26
2006-08-21,12.22
2006-08-28,12.18
2006-09-04,11.96
2006-09-11,12.99
2006-09-18,11.78
2006-09-25,12.12
2006-10-02,12.57
2006-10-09,11.68
2006-10-16,11.09
2006-10-23,11.08
2006-10-30,11.20
2006-11-06,11.16
2006-11-13,10.86
2006-11-20,9.97
2006-11-27,12.30
2006-12-04,11.23
2006-12-11,10.71
2006-12-18,10.60
2006-12-25,11.36
2007-01-01,11.56
2007-01-08,12.00
2007-01-15,10.15
2007-01-22,10.77
2007-01-29,11.45
2007-02-05,10.55
2007-02-12,11.61
2007-02-19,10.02
2007-02-26,11.15
2007-03-05,19.63
2007-03-12,13.99
2007-03-19,14.59
2007-03-26,13.16
2007-04-02,14.53
2007-04-09,13.14
2007-04-16,11.98
2007-04-23,13.04
2007-04-30,14.22
2007-05-07,13.15
2007-05-14,13.96
2007-05-21,13.30
2007-05-28,13.34
2007-06-04,13.29
2007-06-11,14.71
2007-06-18,13.42
2007-06-25,16.65
2007-07-02,15.40
2007-07-09,15.16
2007-07-16,15.59
2007-07-23,16.81
2007-07-30,20.87
2007-08-06,22.94
2007-08-13,26.57
2007-08-20,26.33
2007-08-27,22.72
2007-09-03,23.38
2007-09-10,27.38
2007-09-17,26.48
2007-09-24,19.37
2007-10-01,17.84
2007-10-08,17.46
2007-10-15,19.25
2007-10-22,21.64
2007-10-29,19.87
2007-11-05,24.31
2007-11-12,31.09
2007-11-19,26.01
2007-11-26,28.91
2007-12-03,23.61
2007-12-10,20.74
2007-12-17,24.52
2007-12-24,18.60
2007-12-31,22.50
2008-01-07,23.79
2008-01-14,22.90
2008-01-21,27.18
2008-01-28,27.78
2008-02-04,25.99
2008-02-11,27.60
2008-02-18,25.02
2008-02-25,23.03
2008-03-03,26.28
2008-03-10,29.38
2008-03-17,32.24
2008-03-24,25.73
2008-03-31,25.61
2008-04-07,22.42
2008-04-14,23.82
2008-04-21,20.50
2008-04-28,19.64
2008-05-05,18.90
2008-05-12,17.79
2008-05-19,17.01
2008-05-26,19.55
2008-06-02,19.83
2008-06-09,23.12
2008-06-16,20.95
2008-06-23,22.64
2008-06-30,23.95
2008-07-07,25.78
2008-07-14,28.48
2008-07-21,23.05
2008-07-28,24.23
2008-08-04,23.49
2008-08-11,20.12
2008-08-18,20.98
2008-08-25,20.97
2008-09-01,20.65
2008-09-08,22.64
2008-09-15,31.70
2008-09-22,33.85
2008-09-29,46.72
2008-10-06,52.05
2008-10-13,54.99
2008-10-20,52.97
2008-10-27,80.06
2008-11-03,53.68
2008-11-10,59.98
2008-11-17,69.15
2008-11-24,64.70
2008-12-01,68.51
2008-12-08,58.49
2008-12-15,56.76
2008-12-22,44.56
2008-12-29,43.90
2009-01-05,39.08
2009-01-12,45.84
2009-01-19,46.11
2009-01-26,45.69
2009-02-02,45.52
2009-02-09,43.64
2009-02-16,42.93
2009-02-23,52.62
2009-03-02,52.65
2009-03-09,49.68
2009-03-16,43.74
2009-03-23,43.23
2009-03-30,45.54
2009-04-06,40.93
2009-04-13,37.81
2009-04-20,39.18
2009-04-27,38.32
2009-05-04,34.53
2009-05-11,32.87
2009-05-18,30.24
2009-05-25,32.63
2009-06-01,30.04
2009-06-08,29.77
2009-06-15,30.81
2009-06-22,31.17
2009-06-29,25.35
2009-07-06,29.00
2009-07-13,26.31
2009-07-20,24.40
2009-07-27,24.28
2009-08-03,25.56
2009-08-10,24.99
2009-08-17,27.89
2009-08-24,25.14
2009-08-31,26.01
2009-09-07,25.26
2009-09-14,23.86
2009-09-21,24.06
2009-09-28,24.88
2009-10-05,26.84
2009-10-12,23.01
2009-10-19,21.49
2009-10-26,24.31
2009-11-02,29.78
2009-11-09,23.15
2009-11-16,22.89
2009-11-23,21.16
2009-11-30,24.51
2009-12-07,22.10
2009-12-14,21.15
2009-12-21,20.49
2009-12-28,19.93
2010-01-04,20.04
2010-01-11,17.55
2010-01-18,17.91
2010-01-25,25.41
2010-02-01,22.59
2010-02-08,26.51
2010-02-15,22.73
2010-02-22,19.94
2010-03-01,19.26
2010-03-08,17.79
2010-03-15,18.00
2010-03-22,16.87
2010-03-29,17.59
2010-04-05,17.02
2010-04-12,15.58
2010-04-19,17.34
2010-04-26,17.47
2010-05-03,20.19
2010-05-10,28.84
2010-05-17,30.84
2010-05-24,38.32
2010-05-31,32.07
2010-06-07,36.57
2010-06-14,28.58
2010-06-21,24.88
2010-06-28,29.00
2010-07-05,30.12
2010-07-12,24.43
2010-07-19,25.97
2010-07-26,22.73
2010-08-02,22.01
2010-08-09,22.14
2010-08-16,26.10
2010-08-23,25.66
2010-08-30,27.21
2010-09-06,21.31
2010-09-13,21.21
2010-09-20,21.50
2010-09-27,22.54
2010-10-04,23.53
2010-10-11,18.96
2010-10-18,19.09
2010-10-25,19.85
2010-11-01,21.83
2010-11-08,18.29
2010-11-15,20.20
2010-11-22,18.37
2010-11-29,21.53
2010-12-06,18.02
2010-12-13,17.55
2010-12-20,16.41
2010-12-27,17.67
2011-01-03,17.61
2011-01-10,17.54
2011-01-17,15.46
2011-01-24,17.65
2011-01-31,19.53
2011-02-07,16.28
2011-02-14,15.95
2011-02-21,16.43
2011-02-28,18.35
2011-03-07,20.66
2011-03-14,21.13
2011-03-21,20.61
2011-03-28,19.44
2011-04-04,17.50
2011-04-11,16.59
2011-04-18,16.96
2011-04-25,15.77
2011-05-02,15.99
2011-05-09,17.16
2011-05-16,18.24
2011-05-23,18.27
2011-05-30,15.98
2011-06-06,18.49
2011-06-13,19.61
2011-06-20,19.99
2011-06-27,20.56
2011-07-04,15.87
2011-07-11,18.39
2011-07-18,20.95
2011-07-25,19.35
2011-08-01,23.66
2011-08-08,48.00
2011-08-15,31.87
2011-08-22,42.44
2011-08-29,32.28
2011-09-05,33.92
2011-09-12,38.59
2011-09-19,32.73
2011-09-26,39.02
2011-10-03,45.45
2011-10-10,33.02
2011-10-17,33.39
2011-10-24,29.26
2011-10-31,29.96
2011-11-07,29.85
2011-11-14,31.13
2011-11-21,32.91
2011-11-28,32.13
2011-12-05,27.84
2011-12-12,25.67
2011-12-19,24.92
2011-12-26,20.73
2012-01-02,23.40
2012-01-09,21.07
2012-01-16,20.91
2012-01-23,18.67
2012-01-30,19.40
2012-02-06,17.76
2012-02-13,19.04
2012-02-20,17.78
2012-02-27,18.19
2012-03-05,18.05
2012-03-12,15.64
2012-03-19,15.04
2012-03-26,14.26
2012-04-02,15.64
2012-04-09,18.81
2012-04-16,19.55
2012-04-23,18.97
2012-04-30,17.15
2012-05-07,18.94
2012-05-14,21.87
2012-05-21,22.01
2012-05-28,21.76
2012-06-04,26.12
2012-06-11,23.56
2012-06-18,18.32
2012-06-25,20.38
2012-07-02,16.74
2012-07-09,17.98
2012-07-16,17.11
2012-07-23,18.62
2012-07-30,18.03
2012-08-06,15.95
2012-08-13,13.70
2012-08-20,14.02
2012-08-27,16.35
2012-09-03,17.47
2012-09-10,16.28
2012-09-17,14.59
2012-09-24,14.15
2012-10-01,16.32
2012-10-08,15.11
2012-10-15,15.27
2012-10-22,16.62
2012-10-29,17.81
2012-11-05,18.42
2012-11-12,16.68
2012-11-19,15.24
2012-11-26,15.50
2012-12-03,16.64
2012-12-10,16.05
2012-12-17,16.34
2012-12-24,18.59
2012-12-31,18.02
2013-01-07,13.79
2013-01-14,13.52
2013-01-21,12.46
2013-01-28,13.57
2013-02-04,14.67
2013-02-11,12.94
2013-02-18,12.46
2013-02-25,18.99
2013-03-04,14.01
2013-03-11,11.56
2013-03-18,13.36
2013-03-25,13.74
2013-04-01,13.58
2013-04-08,13.19
2013-04-15,17.27
2013-04-22,14.39
2013-04-29,13.71
2013-05-06,12.66
2013-05-13,12.55
2013-05-20,13.02
2013-05-27,13.99
2013-06-03,16.28
2013-06-10,15.44
2013-06-17,16.80
2013-06-24,20.11
2013-07-01,16.37
2013-07-08,14.78
2013-07-15,13.79
2013-07-22,12.29
2013-07-29,13.39
2013-08-05,11.84
2013-08-12,12.81
2013-08-19,15.10
2013-08-26,14.99
2013-09-02,17.01
2013-09-09,15.63
2013-09-16,14.38
2013-09-23,14.31
2013-09-30,16.60
2013-10-07,19.41
2013-10-14,16.07
2013-10-21,13.16
2013-10-28,13.31
2013-11-04,12.93
2013-11-11,12.53
2013-11-18,13.10
2013-11-25,12.79
2013-12-02,14.23
2013-12-09,13.49
2013-12-16,16.03
2013-12-23,13.04
2013-12-30,13.56
2014-01-06,13.55
2014-01-13,13.28
2014-01-20,12.44
2014-01-27,17.42
2014-02-03,21.44
2014-02-10,15.26
2014-02-17,13.57
2014-02-24,14.23
2014-03-03,16.00
2014-03-10,14.20
2014-03-17,15.64
2014-03-24,15.09
2014-03-31,13.88
2014-04-07,15.57
2014-04-14,16.11
2014-04-21,13.25
2014-04-28,13.97
2014-05-05,13.29
